1, idas:abandonedhouse, HEADING, header:ignore, 0, 0, 0
2, alexscaves:abyssal_ruins, HEADING, header:ignore, 0, 0, 0
3, alexscaves:abyssal_ruins, MONSTER, alexscaves:mine_guardian, 20, 1, 2
4, alexscaves:acid_pit, HEADING, header:ignore, 0, 0, 0
5, trolldom:air_shrine, HEADING, header:ignore, 0, 0, 0
6, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
7, idas:ancient_mines, HEADING, header:ignore, 0, 0, 0
8, idas:ancient_mines, MONSTER, minecraft:silverfish, 10, 1, 1
9, idas:ancient_mines, MONSTER, quark:wraith, 10, 1, 1
10, idas:ancient_portal/ancient_portal, HEADING, header:ignore, 0, 0, 0
11, idas:ancient_portal/ancient_portal, MONSTER, minecraft:silverfish, 10, 1, 4
12, idas:ancient_portal/ancient_portal, MONSTER, quark:wraith, 10, 1, 4
13, idas:ancient_portal/nether_ancient_portal, HEADING, header:ignore, 0, 0, 0
14, idas:ancient_portal/nether_ancient_portal, MONSTER, quark:wraith, 10, 1, 1
15, idas:ancient_statue/ancient_statue_desert, HEADING, header:ignore, 0, 0, 0
16, idas:ancient_statue/ancient_statue_jungle, HEADING, header:ignore, 0, 0, 0
17, idas:ancient_statue/ancient_statue_plains, HEADING, header:ignore, 0, 0, 0
18, idas:animal_den/forest_den, HEADING, header:ignore, 0, 0, 0
19, idas:animal_den/foxhound_den, HEADING, header:ignore, 0, 0, 0
20, idas:animal_den/polar_bear_den, HEADING, header:ignore, 0, 0, 0
21, spawn:ant_mount, HEADING, header:ignore, 0, 0, 0
22, idas:apothecary_abode, HEADING, header:ignore, 0, 0, 0
23, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
24, idas:bazaar, HEADING, header:ignore, 0, 0, 0
25, idas:bearclaw_inn, HEADING, header:ignore, 0, 0, 0
26, idas:beekeepers_house, HEADING, header:ignore, 0, 0, 0
27, cloudstorage:big_balloon, HEADING, header:ignore, 0, 0, 0
28, twigs:bloodstone_obelisk, HEADING, header:ignore, 0, 0, 0
29, oreganized:boulder, HEADING, header:ignore, 0, 0, 0
30, idas:brickhouse, HEADING, header:ignore, 0, 0, 0
31, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
32, idas:castle, HEADING, header:ignore, 0, 0, 0
33, spelunkery:cinnabar_wire, HEADING, header:ignore, 0, 0, 0
34, idas:cottage, HEADING, header:ignore, 0, 0, 0
35, idas:desert_camp/desert_camp, HEADING, header:ignore, 0, 0, 0
36, idas:desert_camp/desert_camp_bygwindswept, HEADING, header:ignore, 0, 0, 0
37, idas:desert_camp/desert_camp_orange, HEADING, header:ignore, 0, 0, 0
38, idas:desert_camp/desert_camp_red, HEADING, header:ignore, 0, 0, 0
39, idas:desert_market/desert_market, HEADING, header:ignore, 0, 0, 0
40, idas:desert_market/desert_market_orange, HEADING, header:ignore, 0, 0, 0
41, idas:desert_market/desert_market_red, HEADING, header:ignore, 0, 0, 0
42, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
43, alexscaves:dino_bowl, HEADING, header:ignore, 0, 0, 0
44, trolldom:earth_shrine, HEADING, header:ignore, 0, 0, 0
45, idas:enchantingtower, HEADING, header:ignore, 0, 0, 0
46, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
47, minecraft:end_city, MONSTER, alexsmobs:mimicube, 40, 1, 3
48, tetra:extractor_ruin, HEADING, header:ignore, 0, 0, 0
49, habitat:fairy_ring, HEADING, header:ignore, 0, 0, 0
50, habitat:fairy_ring, CREATURE, habitat:pooka, 10, 4, 4
51, idas:farmhouse, HEADING, header:ignore, 0, 0, 0
52, alexscaves:ferrocave, HEADING, header:ignore, 0, 0, 0
53, flying_stuff:fil_0, HEADING, header:ignore, 0, 0, 0
54, trolldom:fire_shrine, HEADING, header:ignore, 0, 0, 0
55, trolldom:fire_shrine, MONSTER, minecraft:blaze, 10, 2, 5
56, trolldom:fire_shrine, MONSTER, minecraft:magma_cube, 10, 1, 4
57, idas:fishermans_lodge, HEADING, header:ignore, 0, 0, 0
58, flying_stuff:floating_tower, HEADING, header:ignore, 0, 0, 0
59, flying_stuff:floating_village, HEADING, header:ignore, 0, 0, 0
60, alexscaves:forlorn_bridge, HEADING, header:ignore, 0, 0, 0
61, alexscaves:forlorn_canyon, HEADING, header:ignore, 0, 0, 0
62, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
63, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
64, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
65, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
66, minecraft:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
67, minecraft:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
68, idas:frozen_crypt, HEADING, header:ignore, 0, 0, 0
69, snowyspirit:gingerbread_house, HEADING, header:ignore, 0, 0, 0
70, snowyspirit:gingerbread_house, MONSTER, minecraft:witch, 10, 1, 1
71, snowyspirit:gingerbread_house, CREATURE, minecraft:pig, 10, 1, 1
72, flying_stuff:glaciated_great_sky_island, HEADING, header:ignore, 0, 0, 0
